xx,xx,Isi_Tweet,xx,xx,xx xx,Source,Topic,Sentimen,xx
,,inkonsisten,,,,dictionary,vocabulary,-1,
,,porno,,,,dictionary,vocabulary,-1,
,,teroris,,,,dictionary,vocabulary,-1,
,,sesat,,,,dictionary,vocabulary,-1,
,,tuntut,,,,dictionary,vocabulary,-1,
,,leceh,,,,dictionary,vocabulary,-1,
,,hina,,,,dictionary,vocabulary,-1,
,,kasar,,,,dictionary,vocabulary,-1,
,,kalah,,,,dictionary,vocabulary,-1,
,,nista,,,,dictionary,vocabulary,-1,
,,pelecehan,,,,dictionary,vocabulary,-1,
,,palsu,,,,dictionary,vocabulary,-1,
,,memelintir,,,,dictionary,vocabulary,-1,
,,plintiran,,,,dictionary,vocabulary,-1,
,,porno,,,,dictionary,vocabulary,-1,
,,ahoker,,,,dictionary,vocabulary,-1,
,,hancur,,,,dictionary,vocabulary,-1,
,,hanya,,,,dictionary,vocabulary,-1,
,,cuma,,,,dictionary,vocabulary,-1,
,,tangkap,,,,dictionary,vocabulary,-1,
,,kurang,,,,dictionary,vocabulary,-1,
,,salah,,,,dictionary,vocabulary,-1,
,,sabotase,,,,dictionary,vocabulary,-1,
,,akting,,,,dictionary,vocabulary,-1,
,,jahat,,,,dictionary,vocabulary,-1,
,,lapor,,,,dictionary,vocabulary,-1,
,,bukan,,,,dictionary,vocabulary,-1,
,,tidak,,,,dictionary,vocabulary,-1,
,,fitnah,,,,dictionary,vocabulary,-1,
,,haram,,,,dictionary,vocabulary,-1,
,,hapus,,,,dictionary,vocabulary,-1,
,,serang,,,,dictionary,vocabulary,-1,
,,seram,,,,dictionary,vocabulary,-1,
,,intimidasi,,,,dictionary,vocabulary,-1,
,,gusur,,,,dictionary,vocabulary,-1,
,,arogan,,,,dictionary,vocabulary,-1,
,,kafir,,,,dictionary,vocabulary,-1,
,,korupsi,,,,dictionary,vocabulary,-1,
,,pidana,,,,dictionary,vocabulary,-1,
,,tersangka,,,,dictionary,vocabulary,-1,
,,koruptor,,,,dictionary,vocabulary,-1,
,,zalim,,,,dictionary,vocabulary,-1,
,,semu,,,,dictionary,vocabulary,-1,
,,retorika,,,,dictionary,vocabulary,-1,
,,busuk,,,,dictionary,vocabulary,-1,
,,nista,,,,dictionary,vocabulary,-1,
,,tipu,,,,dictionary,vocabulary,-1,
,,cukong,,,,dictionary,vocabulary,-1,
,,reklamasi,,,,dictionary,vocabulary,-1,
,,ganda,,,,dictionary,vocabulary,-1,
,,usir,,,,dictionary,vocabulary,-1,
,,demo,,,,dictionary,vocabulary,-1,
,,paksa,,,,dictionary,vocabulary,-1,
,,banjir,,,,dictionary,vocabulary,-1,
,,macet,,,,dictionary,vocabulary,-1,
,,kumuh,,,,dictionary,vocabulary,-1,
,,sengaja,,,,dictionary,vocabulary,-1,
,,sengak,,,,dictionary,vocabulary,-1,
,,rusuh,,,,dictionary,vocabulary,-1,
,,jilat,,,,dictionary,vocabulary,-1,
,,mangkal,,,,dictionary,vocabulary,-1,
,,mati,,,,dictionary,vocabulary,-1,
,,hipnotis,,,,dictionary,vocabulary,-1,
,,bugil,,,,dictionary,vocabulary,-1,
,,bacot,,,,dictionary,vocabulary,-1,
,,seteru,,,,dictionary,vocabulary,-1,
,,karma,,,,dictionary,vocabulary,-1,
,,buzzer,,,,dictionary,vocabulary,-1,
,,buang,,,,dictionary,vocabulary,-1,
,,bual,,,,dictionary,vocabulary,-1,
,,setor,,,,dictionary,vocabulary,-1,
,,ngelunjak,,,,dictionary,vocabulary,-1,
,,sikut,,,,dictionary,vocabulary,-1,
,,ciut,,,,dictionary,vocabulary,-1,
,,ledak,,,,dictionary,vocabulary,-1,
,,emosi,,,,dictionary,vocabulary,-1,
,,tahan,,,,dictionary,vocabulary,-1,
,,penjara,,,,dictionary,vocabulary,-1,
,,kandang,,,,dictionary,vocabulary,-1,
,,kontol,,,,dictionary,vocabulary,-1,
,,anjing,,,,dictionary,vocabulary,-1,
,,bodoh,,,,dictionary,vocabulary,-1,
,,iblis,,,,dictionary,vocabulary,-1,
,,setan,,,,dictionary,vocabulary,-1,
,,umpat,,,,dictionary,vocabulary,-1,
,,benci,,,,dictionary,vocabulary,-1,
,,harimau,,,,dictionary,vocabulary,-1,
,,musuh,,,,dictionary,vocabulary,-1,
,,miskin,,,,dictionary,vocabulary,-1,
,,bugil,,,,dictionary,vocabulary,-1,
,,gantung,,,,dictionary,vocabulary,-1,
,,panik,,,,dictionary,vocabulary,-1,
,,marah,,,,dictionary,vocabulary,-1,
,,sara,,,,dictionary,vocabulary,-1,
,,jajah,,,,dictionary,vocabulary,-1,
,,bodong,,,,dictionary,vocabulary,-1,
,,rendah,,,,dictionary,vocabulary,-1,
,,fpi,,,,dictionary,vocabulary,-1,
,,kecut,,,,dictionary,vocabulary,-1,
,,lambat,,,,dictionary,vocabulary,-1,
,,risih,,,,dictionary,vocabulary,-1,
,,klaim,,,,dictionary,vocabulary,-1,
,,hitam,,,,dictionary,vocabulary,-1,
,,tikus,,,,dictionary,vocabulary,-1,
,,pusing,,,,dictionary,vocabulary,-1,
,,lemas,,,,dictionary,vocabulary,-1,
,,lelah,,,,dictionary,vocabulary,-1,
,,homo,,,,dictionary,vocabulary,-1,
,,pecundang,,,,dictionary,vocabulary,-1,
,,serbu,,,,dictionary,vocabulary,-1,
,,lempar,,,,dictionary,vocabulary,-1,
,,pukul,,,,dictionary,vocabulary,-1,
,,tendang,,,,dictionary,vocabulary,-1,
,,hajar,,,,dictionary,vocabulary,-1,
,,ngelindur,,,,dictionary,vocabulary,-1,
,,bunuh,,,,dictionary,vocabulary,-1,
,,maut,,,,dictionary,vocabulary,-1,
,,bandel,,,,dictionary,vocabulary,-1,
,,bandit,,,,dictionary,vocabulary,-1,
,,curang,,,,dictionary,vocabulary,-1,
,,tuding,,,,dictionary,vocabulary,-1,
,,hilang,,,,dictionary,vocabulary,-1,
,,uap,,,,dictionary,vocabulary,-1,
,,fiktif,,,,dictionary,vocabulary,-1,
,,ancam,,,,dictionary,vocabulary,-1,
,,apatis,,,,dictionary,vocabulary,-1,
,,anarkis,,,,dictionary,vocabulary,-1,
,,aneh,,,,dictionary,vocabulary,-1,
,,asal,,,,dictionary,vocabulary,-1,
